Transaction ID,Transaction
Trans1,"Monitor, Mousepad, Headphones"
Trans2,"Mousepad, Keyboard, Monitor, Mouse"
Trans3,"Monitor, Headphones, Mousepad, Mouse, Keyboard"
Trans4,"Keyboard, Mousepad, Monitor"
Trans5,"Mousepad, Keyboard, Mouse, Monitor, Headphones"
Trans6,"Headphones, Mouse, Monitor"
Trans7,"Keyboard, Monitor"
Trans8,"Mousepad, Headphones"
Trans9,"Keyboard, Headphones, Mouse, Monitor"
Trans10,"Keyboard, Mouse"
Trans11,"Monitor, Keyboard, Headphones, Mouse, Mousepad"
Trans12,"Mousepad, Mouse"
Trans13,"Keyboard, Mousepad"
Trans14,"Keyboard, Mouse, Headphones, Monitor, Mousepad"
Trans15,"Monitor, Mousepad, Mouse"
Trans16,"Mousepad, Mouse"
Trans17,"Mouse, Monitor"
Trans18,"Headphones, Mousepad, Mouse, Keyboard, Monitor"
Trans19,"Mouse, Headphones"
Trans20,"Mouse, Monitor, Headphones, Keyboard"
Trans21,"Mouse, Monitor"
Trans22,"Monitor, Headphones, Keyboard, Mousepad, Mouse"
Trans23,"Mousepad, Mouse, Monitor, Keyboard"
Trans24,"Headphones, Mouse, Mousepad"
Trans25,"Mousepad, Monitor, Headphones"
