Transaction ID,Transaction
Trans1,"Mushroom, Steak, Milk, Cheese"
Trans2,"Cheese, Milk, Chicken, Steak, Mushroom"
Trans3,"Cheese, Chicken, Mushroom, Milk"
Trans4,"Cheese, Steak, Milk"
Trans5,"Mushroom, Milk, Cheese, Steak"
Trans6,"Steak, Milk, Chicken, Mushroom"
Trans7,"Chicken, Mushroom, Milk"
Trans8,"Mushroom, Chicken, Milk"
Trans9,"Chicken, Mushroom, Cheese, Steak, Milk"
Trans10,"Steak, Milk"
Trans11,"Cheese, Chicken, Steak"
Trans12,"Milk, Mushroom, Cheese, Chicken"
Trans13,"Mushroom, Steak"
Trans14,"Mushroom, Steak, Cheese"
Trans15,"Chicken, Mushroom, Steak, Cheese"
Trans16,"Mushroom, Cheese, Chicken"
Trans17,"Steak, Mushroom, Chicken, Milk, Cheese"
Trans18,"Steak, Milk, Mushroom, Cheese"
Trans19,"Steak, Mushroom, Milk, Chicken, Cheese"
Trans20,"Milk, Steak"
Trans21,"Mushroom, Steak"
Trans22,"Cheese, Milk, Chicken, Mushroom"
Trans23,"Steak, Chicken, Milk, Cheese, Mushroom"
Trans24,"Milk, Chicken, Steak, Mushroom"
Trans25,"Cheese, Steak"
