Transaction ID,Transaction
Trans1,"Underwear, Socks, Pencil, Eraser, Blanket"
Trans2,"Blanket, Eraser"
Trans3,"Pencil, Blanket"
Trans4,"Pencil, Eraser, Blanket, Underwear"
Trans5,"Eraser, Underwear, Blanket, Pencil, Socks"
Trans6,"Underwear, Pencil, Blanket"
Trans7,"Eraser, Blanket"
Trans8,"Underwear, Pencil, Eraser, Socks"
Trans9,"Eraser, Pencil, Underwear"
Trans10,"Underwear, Pencil, Eraser"
Trans11,"Underwear, Eraser, Socks, Pencil"
Trans12,"Pencil, Blanket, Socks, Eraser"
Trans13,"Underwear, Blanket, Socks, Eraser"
Trans14,"Eraser, Socks, Blanket, Underwear"
Trans15,"Socks, Blanket, Pencil, Eraser, Underwear"
Trans16,"Pencil, Underwear"
Trans17,"Socks, Underwear, Eraser, Blanket, Pencil"
Trans18,"Blanket, Eraser, Pencil, Underwear"
Trans19,"Underwear, Pencil, Socks"
Trans20,"Eraser, Blanket, Pencil, Underwear"
Trans21,"Underwear, Eraser, Socks, Blanket"
Trans22,"Blanket, Socks, Pencil"
Trans23,"Eraser, Pencil"
Trans24,"Blanket, Underwear, Socks"
Trans25,"Pencil, Underwear, Socks"
