Transaction ID,Transaction
Trans1,"Dried Fruit, Cookies"
Trans2,"Dried Fruit, Nuts, Milk, Cookies"
Trans3,"Cookies, Butter, Milk"
Trans4,"Dried Fruit, Milk, Butter, Nuts"
Trans5,"Butter, Cookies, Dried Fruit, Milk, Nuts"
Trans6,"Dried Fruit, Cookies, Butter, Nuts"
Trans7,"Cookies, Milk"
Trans8,"Milk, Nuts, Butter, Dried Fruit, Cookies"
Trans9,"Butter, Milk, Nuts, Dried Fruit"
Trans10,"Dried Fruit, Cookies, Nuts"
Trans11,"Milk, Cookies"
Trans12,"Butter, Dried Fruit, Milk, Cookies"
Trans13,"Butter, Cookies, Dried Fruit, Nuts, Milk"
Trans14,"Dried Fruit, Cookies, Milk, Nuts"
Trans15,"Cookies, Milk, Nuts, Butter"
Trans16,"Milk, Nuts, Dried Fruit"
Trans17,"Dried Fruit, Cookies, Butter, Nuts"
Trans18,"Dried Fruit, Milk"
Trans19,"Milk, Cookies, Nuts, Butter"
Trans20,"Nuts, Dried Fruit, Cookies, Butter"
Trans21,"Butter, Nuts"
Trans22,"Nuts, Butter"
Trans23,"Dried Fruit, Milk"
Trans24,"Cookies, Nuts"
Trans25,"Butter, Milk, Cookies, Dried Fruit, Nuts"
